runtime,model,precision,alpha,similarity,stdruntime
1646.05444266667,medium,single,0.2,seuclidean,1.19076912937404
1674.741687,medium,single,0.2,cityblock,0.470835186276409
1636.60987266667,medium,single,0.2,chebychev,0.164999206283899
488.084424666667,medium,single,0.2,cosine,0.0954214976424579
490.059066666667,medium,single,0.2,correlation,0.411043005645807
53.2288086666667,medium,single,0.3,Tfunction,0.217200058136117
1056.030525,medium,single,0.3,euclidean,0.166383190605221
1008.392254,medium,single,0.3,squaredeuclidean,0.338539012689841
1058.41737166667,medium,single,0.3,seuclidean,0.126854046089762
1063.19884566667,medium,single,0.3,cityblock,0.353532519059228
1070.011084,medium,single,0.3,chebychev,0.286659991099205
309.541916,medium,single,0.3,cosine,0.129146925135694
310.861112333333,medium,single,0.3,correlation,0.157897182259013
240.771169333333,medium,double,0.1,Tfunction,0.192117431167336
4635.43282333333,medium,double,0.1,euclidean,1.84030916630439
4569.70510466667,medium,double,0.1,squaredeuclidean,0.675324193774683
4692.23878566667,medium,double,0.1,seuclidean,1.57746708026957
4654.99413533333,medium,double,0.1,cityblock,5.65426210180804
4619.711569,medium,double,0.1,chebychev,1.84895931262626
1927.82144233333,medium,double,0.1,cosine,2.20508691352001
1971.037794,medium,double,0.1,correlation,0.579604761038981
128.469204666667,medium,double,0.2,Tfunction,0.416598298183433
2210.369781,medium,double,0.2,euclidean,1.67248609189217
2208.02331333333,medium,double,0.2,squaredeuclidean,2.54064605858713
2233.262912,medium,double,0.2,seuclidean,0.916155863043056
2279.302897,medium,double,0.2,cityblock,1.87344276660559
2230.07445733333,medium,double,0.2,chebychev,1.46361506476592
922.181783333333,medium,double,0.2,cosine,0.262054365989824
927.038809666667,medium,double,0.2,correlation,0.234887956580033
94.669433,medium,double,0.3,Tfunction,0.069058365430992
1442.288493,medium,double,0.3,euclidean,1.24514672037435
1377.00258533333,medium,double,0.3,squaredeuclidean,1.1580384169799
1436.33966433333,medium,double,0.3,seuclidean,1.61324423340815
1448.32651933333,medium,double,0.3,cityblock,1.86066688428441
1458.24055166667,medium,double,0.3,chebychev,0.738204318809116
587.960396666667,medium,double,0.3,cosine,0.127301962441013
590.605655666667,medium,double,0.3,correlation,0.426407568901332
0.293125666666667,small,single,0.1,Tfunction,0.015455752370342
6.75576233333333,small,single,0.1,euclidean,0.00916492849581162
6.653229,small,single,0.1,squaredeuclidean,0.00266161285689703
6.71404833333333,small,single,0.1,seuclidean,0.00387620720980361
6.68768066666667,small,single,0.1,cityblock,0.00196609265634507
6.90063233333333,small,single,0.1,chebychev,0.00329634560283551
2.17908366666667,small,single,0.1,cosine,0.00477359260236271
2.33756266666667,small,single,0.1,correlation,0.0222706435545389
0.147309333333333,small,single,0.2,Tfunction,0.00530225483481634
3.26478233333333,small,single,0.2,euclidean,0.00264564346300356
3.165908,small,single,0.2,squaredeuclidean,0.00266760623031202
3.24066,small,single,0.2,seuclidean,0.00199210843078382
3.277744,small,single,0.2,cityblock,0.00155975414729381
3.33547566666667,small,single,0.2,chebychev,0.00354127382919379
1.06945433333333,small,single,0.2,cosine,0.0099640572726843
1.10179866666667,small,single,0.2,correlation,0.011509150287199
0.104900333333333,small,single,0.3,Tfunction,0.0048906721760238
2.13520533333333,small,single,0.3,euclidean,0.0023318439770562
2.03682633333333,small,single,0.3,squaredeuclidean,0.000800955887257891
2.08469033333333,small,single,0.3,seuclidean,0.00103713081784965
2.04786833333333,small,single,0.3,cityblock,0.00290225883293221
2.18011,small,single,0.3,chebychev,0.00225668495807462
0.675848,small,single,0.3,cosine,0.00078927371678015
0.695146333333333,small,single,0.3,correlation,0.000645063046014388
0.473131,small,double,0.1,Tfunction,0.0390326994838943
7.62602733333333,small,double,0.1,euclidean,0.00451731472595574
7.502919,small,double,0.1,squaredeuclidean,0.000466790102722964
7.570404,small,double,0.1,seuclidean,0.00162526674733695
7.547124,small,double,0.1,cityblock,0.00156695756164601
7.81676233333333,small,double,0.1,chebychev,0.0031742700473234
3.09289333333333,small,double,0.1,cosine,0.0219700320512586
3.236187,small,double,0.1,correlation,0.0144932646770837
0.260727666666667,small,double,0.2,Tfunction,0.00542762464926724
3.68646733333333,small,double,0.2,euclidean,0.003374422222149
3.57049366666667,small,double,0.2,squaredeuclidean,0.00177938453779203
3.65223533333333,small,double,0.2,seuclidean,0.00126160308074032
3.69639566666667,small,double,0.2,cityblock,0.00191516326545113
3.77566733333333,small,double,0.2,chebychev,0.00192126061046738
1.56568833333333,small,double,0.2,cosine,0.0735546080292278
1.54507066666667,small,double,0.2,correlation,0.00225077371882049
0.180932333333333,small,double,0.3,Tfunction,0.000240695519969388
2.40751233333333,small,double,0.3,euclidean,0.00225815374439675
2.29599633333333,small,double,0.3,squaredeuclidean,0.00238326883362596
2.34685833333333,small,double,0.3,seuclidean,0.000962974731409434
2.307363,small,double,0.3,cityblock,0.00111462460048217
2.46621033333333,small,double,0.3,chebychev,0.00157311167223861
0.955543,small,double,0.3,cosine,0.00949375336734632
0.969284666666667,small,double,0.3,correlation,0.00110256896987595
