,cpu1,cpu2,gpu1,gpu2,model,precision,alpha,similarity
98,6.9120029999999995,11.598092999999999,2.64695,1.5341879999999999,small,single,0.1,squaredeuclidean
99,7.060605000000001,12.194092999999999,3.057416,2.8466299999999998,small,single,0.1,seuclidean
100,6.967666,11.655550999999999,2.6469419999999997,1.5480040000000002,small,single,0.1,cityblock
101,7.212611,8.533414,2.670146,1.6143100000000001,small,single,0.1,chebychev
102,2.641633,7.940174000000001,3.163627,2.143216,small,single,0.1,cosine
103,2.8454610000000002,8.831729,3.331526,2.5109169999999996,small,single,0.1,correlation
104,0.19304200000000002,0.9802040000000001,2.270476,0.546446,small,single,0.2,Tfunction
105,3.4245,5.738382,2.206698,0.819801,small,single,0.2,euclidean
106,3.319789,5.533389,2.20702,0.796289,small,single,0.2,squaredeuclidean
107,3.436214,5.884843,2.3984389999999998,1.426536,small,single,0.2,seuclidean
108,3.4312440000000004,5.7353760000000005,2.1818880000000003,0.814718,small,single,0.2,cityblock
109,3.48556,4.011596,2.2422560000000002,0.850031,small,single,0.2,chebychev
110,1.301909,4.001205000000001,2.606004,1.386959,small,single,0.2,cosine
111,1.3330879999999998,4.05891,2.6626,1.310618,small,single,0.2,correlation
112,0.13847,0.666977,2.2573060000000003,0.505437,small,single,0.3,Tfunction
113,2.23441,3.739346,2.069482,0.586109,small,single,0.3,euclidean
114,2.134678,3.5601410000000002,2.054154,0.574241,small,single,0.3,squaredeuclidean
115,2.2092009999999997,3.7805779999999998,2.150575,0.9773639999999999,small,single,0.3,seuclidean
116,2.1448810000000003,3.551331,2.0911779999999998,0.5768810000000001,small,single,0.3,cityblock
117,2.285372,2.772975,2.091322,0.6026779999999999,small,single,0.3,chebychev
118,0.858671,2.5111060000000003,2.394923,1.089556,small,single,0.3,cosine
119,0.890826,2.687781,2.392595,1.016311,small,single,0.3,correlation
120,0.604316,3.254789,2.3420970000000003,0.9405549999999999,small,double,0.1,Tfunction
121,8.040069,12.896685,2.692218,2.117279,small,double,0.1,euclidean
122,7.923357000000001,12.596121,2.66284,2.029703,small,double,0.1,squaredeuclidean
123,8.006847,13.683889,3.107928,3.5415379999999996,small,double,0.1,seuclidean
124,7.96219,12.569436,2.682196,2.105772,small,double,0.1,cityblock
125,8.249334,9.630967,2.6857,2.342181,small,double,0.1,chebychev
126,3.6260809999999997,13.744156,3.080368,2.699055,small,double,0.1,cosine
127,3.910823,15.681170000000002,3.3133519999999996,2.565681,small,double,0.1,correlation
128,0.316948,1.8176299999999999,2.232637,0.6123689999999999,small,double,0.2,Tfunction
129,3.887265,6.2140629999999994,2.165322,1.067358,small,double,0.2,euclidean
130,3.7657580000000004,5.991604,2.21239,1.037264,small,double,0.2,squaredeuclidean
131,3.864983,6.645949000000001,2.454564,1.82077,small,double,0.2,seuclidean
132,3.90337,6.26315,2.190211,1.053775,small,double,0.2,cityblock
133,3.9804769999999996,4.868664,2.227393,1.188988,small,double,0.2,chebychev
134,1.811808,6.694601,2.547695,1.3177370000000002,small,double,0.2,cosine
135,1.885458,7.138325999999999,2.614449,1.358383,small,double,0.2,correlation
136,0.22606300000000001,1.213127,2.2090110000000003,0.555789,small,double,0.3,Tfunction
137,2.5435790000000003,4.088953,2.029517,0.741147,small,double,0.3,euclidean
138,2.421125,3.8214839999999994,2.062353,0.84583,small,double,0.3,squaredeuclidean
139,2.481583,4.320364,2.2157310000000003,1.145143,small,double,0.3,seuclidean
140,2.431494,3.907989,2.01425,0.6995939999999999,small,double,0.3,cityblock
141,2.598618,3.216291,2.024395,0.812869,small,double,0.3,chebychev
142,1.197096,4.25826,2.263067,0.967534,small,double,0.3,cosine
143,1.207889,4.517753,2.3665700000000003,0.9971709999999999,small,double,0.3,correlation
