runtime,model,precision,alpha,similarity,stdruntime
1.14459633333333,small,single,0.2,squaredeuclidean,0.000795398223114285
1.28391833333333,small,single,0.2,seuclidean,0.00342396558588624
1.15892,small,single,0.2,cityblock,0.00420512021231262
1.15488866666667,small,single,0.2,chebychev,0.000577811676355975
1.42515533333333,small,single,0.2,cosine,0.00158561828109211
1.46669366666667,small,single,0.2,correlation,0.00817617675526484
1.11327733333333,small,single,0.3,Tfunction,0.0257177791874286
1.04638033333333,small,single,0.3,euclidean,0.0266890700912065
1.02080033333333,small,single,0.3,squaredeuclidean,0.000973361358044106
1.112844,small,single,0.3,seuclidean,0.00265264943028661
1.02182766666667,small,single,0.3,cityblock,0.00317689224452667
1.03097766666667,small,single,0.3,chebychev,0.000857144289681312
1.26600133333333,small,single,0.3,cosine,0.000811557966711701
1.29647766666667,small,single,0.3,correlation,0.0014117114908271
1.21005333333333,small,double,0.1,Tfunction,0.0259273920465082
1.581764,small,double,0.1,euclidean,0.0315770900020885
1.55432533333333,small,double,0.1,squaredeuclidean,0.00108319081113781
1.89841933333333,small,double,0.1,seuclidean,0.00241433828063366
1.55753866666667,small,double,0.1,cityblock,0.00448851437931683
1.570043,small,double,0.1,chebychev,0.00183377670396372
1.87859666666667,small,double,0.1,cosine,0.00180890722076433
1.97986533333333,small,double,0.1,correlation,0.00524307794461743
1.14605233333333,small,double,0.2,Tfunction,0.029496445418615
1.188127,small,double,0.2,euclidean,0.027687072380445
1.16221533333333,small,double,0.2,squaredeuclidean,0.00206516496516219
1.336856,small,double,0.2,seuclidean,0.00319089846281573
1.172639,small,double,0.2,cityblock,0.00310603799075278
1.171911,small,double,0.2,chebychev,0.00140789630299967
1.384929,small,double,0.2,cosine,0.000104799809160036
1.426488,small,double,0.2,correlation,0.00308729055969793
1.128303,small,double,0.3,Tfunction,0.0301622035169846
1.05656433333333,small,double,0.3,euclidean,0.0281982867801101
1.03220133333333,small,double,0.3,squaredeuclidean,0.0020004180396441
1.14011466666667,small,double,0.3,seuclidean,0.0020904519447558
1.033209,small,double,0.3,cityblock,0.0036008803090355
1.04270533333333,small,double,0.3,chebychev,0.000851817077390061
1.21012033333333,small,double,0.3,cosine,0.000507023010654587
1.242876,small,double,0.3,correlation,9.60832971957921e-05
