runtime,model,precision,alpha,similarity
125.757510549776,small,double,0.2,squaredeuclidean
125.525708789582,small,double,0.2,seuclidean
125.289170702108,small,double,0.2,cityblock
125.046835405107,small,double,0.2,chebychev
124.797301340264,small,double,0.2,cosine
124.542662095518,small,double,0.2,correlation
124.286281924976,small,double,0.3,Tfunction
124.026487227191,small,double,0.3,euclidean
123.763251628898,small,double,0.3,squaredeuclidean
123.49578551467,small,double,0.3,seuclidean
123.226207713773,small,double,0.3,cityblock
122.953840743735,small,double,0.3,chebychev
122.677745451304,small,double,0.3,cosine
122.399303650877,small,double,0.3,correlation
